,0,1,2,3,4,5,6,7,8,9,10
0,Berwick-EvansDaniel,AlbinPierre,AhlgrenScottD,FernandesRuiLoja,DunfieldNathanM,BronskiJaredC,BradlowStevenBenjamin,CooneyDanielB,DeyParthaSarathi,BocaFlorin-Petre,IvanovSergeiVladimirovich
1,RezkCharlesW,BaloghJózsef,FordKevinB,HungPei-Ken,GuzmanRosemaryK,ErdoğanMehmetBurak,HaboushWilliamJ,FadinaTolulope,SongRenming,JungeMarius,LiuYuan
2,StojanoskaVesna,BaryshnikovYuliyM,ReznickBruce,KermanEly,RasmussenJacob,HurVeraMikyoung,HellerJeremiahBen,FengRunhuan,SowersRichardB,KutzarovaDenkaN,MineyevIgor
3,,DeVilleRELee,ThornerJesse,LermanEugeneM,RasmussenSarahDean,KirrEduard,JandaFelix,JingXiaochen,WeiWei,OikhbergTimur,
4,,DiFrancescoPhilippe,ZaharescuAlexandru,NikolaevIgorG,,LaugesenRichardSnyder,KatzSheldonH,QuanZhiyu,WuXuan,,
5,,DoddChristopher,,PascaleffJamesThomas,,LiXiaochun,YongAlexanderTF,,,,
6,,DuttaSankarPrasad,,TolmanSusan,,RaptiZoi,,,,,
7,,DuursmaIwanMaynard,,,,TzirakisNikolaos,,,,,
8,,HinkkanenAimo,,,,ZharnitskyVadim,,,,,
9,,HiraniAnilN,,,,,,,,,
10,,KedemRinat,,,,,,,,,
11,,KirkpatrickKayLene,,,,,,,,,
12,,KostochkaAlexandrV,,,,,,,,,
13,,LaNaveGabriele,,,,,,,,,
14,,LeditzkyFelix,,,,,,,,,
15,,McCarthyRandy,,,,,,,,,
16,,TumanovAlexander,,,,,,,,,
17,,TysonJeremyT,,,,,,,,,
18,,YoungAmanda,,,,,,,,,
19,,,,,,,,,,,
