,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,ErdoğanMehmetBurak,FordKevinB,DunfieldNathanM,BronskiJaredC,AhlgrenScottD,DiFrancescoPhilippe,FengRunhuan,FadinaTolulope,BradlowStevenBenjamin,BaryshnikovYuliyM,KermanEly,FernandesRuiLoja,HellerJeremiahBen,DeyParthaSarathi,BocaFlorin-Petre,JungeMarius,JandaFelix,BaloghJózsef
1,LiXiaochun,ThornerJesse,RasmussenJacob,DeVilleRELee,AlbinPierre,KedemRinat,JingXiaochen,WeiWei,HaboushWilliamJ,SongRenming,TumanovAlexander,LermanEugeneM,LiuYuan,KirkpatrickKayLene,ZaharescuAlexandru,KutzarovaDenkaN,KatzSheldonH,KostochkaAlexandrV
2,TzirakisNikolaos,,RasmussenSarahDean,HurVeraMikyoung,Berwick-EvansDaniel,,,,LaNaveGabriele,SowersRichardB,,TolmanSusan,RezkCharlesW,WuXuan,,OikhbergTimur,PascaleffJamesThomas,
3,ZharnitskyVadim,,,RaptiZoi,CooneyDanielB,,,,NikolaevIgorG,,,,StojanoskaVesna,,,,,
4,,,,,DoddChristopher,,,,,,,,,,,,,
5,,,,,DuttaSankarPrasad,,,,,,,,,,,,,
6,,,,,DuursmaIwanMaynard,,,,,,,,,,,,,
7,,,,,GuzmanRosemaryK,,,,,,,,,,,,,
8,,,,,HinkkanenAimo,,,,,,,,,,,,,
9,,,,,HiraniAnilN,,,,,,,,,,,,,
10,,,,,HungPei-Ken,,,,,,,,,,,,,
11,,,,,IvanovSergeiVladimirovich,,,,,,,,,,,,,
12,,,,,KirrEduard,,,,,,,,,,,,,
13,,,,,LaugesenRichardSnyder,,,,,,,,,,,,,
14,,,,,LeditzkyFelix,,,,,,,,,,,,,
15,,,,,McCarthyRandy,,,,,,,,,,,,,
16,,,,,MineyevIgor,,,,,,,,,,,,,
17,,,,,ReznickBruce,,,,,,,,,,,,,
18,,,,,TysonJeremyT,,,,,,,,,,,,,
19,,,,,YongAlexanderTF,,,,,,,,,,,,,
20,,,,,YoungAmanda,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,
