,0,0,0
0,GuzmanRosemaryK,GuzmanRosemaryK,WuXuan
1,HaboushWilliamJ,FadinaTolulope,CooneyDanielB
2,KatzSheldonH,HaboushWilliamJ,KirrEduard
3,RasmussenSarahDean,RasmussenSarahDean,DeVilleRELee
4,DuursmaIwanMaynard,DuursmaIwanMaynard,ZharnitskyVadim
5,HiraniAnilN,StojanoskaVesna,BronskiJaredC
6,FernandesRuiLoja,KatzSheldonH,DeyParthaSarathi
7,YoungAmanda,HiraniAnilN,LeditzkyFelix
8,PascaleffJamesThomas,PascaleffJamesThomas,HurVeraMikyoung
9,LiuYuan,FernandesRuiLoja,JungeMarius
10,NikolaevIgorG,YoungAmanda,RaptiZoi
11,DunfieldNathanM,NikolaevIgorG,KirkpatrickKayLene
12,TumanovAlexander,DunfieldNathanM,ErdoğanMehmetBurak
13,ReznickBruce,RezkCharlesW,BaloghJózsef
14,Berwick-EvansDaniel,TumanovAlexander,ZaharescuAlexandru
15,RezkCharlesW,Berwick-EvansDaniel,HungPei-Ken
16,RasmussenJacob,McCarthyRandy,TzirakisNikolaos
17,BaryshnikovYuliyM,BradlowStevenBenjamin,ThornerJesse
18,DiFrancescoPhilippe,DoddChristopher,SongRenming
19,McCarthyRandy,DiFrancescoPhilippe,KostochkaAlexandrV
20,DoddChristopher,ReznickBruce,BocaFlorin-Petre
21,SowersRichardB,BaryshnikovYuliyM,LaugesenRichardSnyder
22,LermanEugeneM,LiuYuan,KedemRinat
23,LiXiaochun,LiXiaochun,DuttaSankarPrasad
24,LaNaveGabriele,JingXiaochen,TolmanSusan
25,AlbinPierre,HellerJeremiahBen,MineyevIgor
26,HellerJeremiahBen,AlbinPierre,KutzarovaDenkaN
27,HinkkanenAimo,SowersRichardB,AhlgrenScottD
28,KedemRinat,KermanEly,DiFrancescoPhilippe
29,FordKevinB,RasmussenJacob,OikhbergTimur
30,IvanovSergeiVladimirovich,HinkkanenAimo,YongAlexanderTF
31,TysonJeremyT,LermanEugeneM,JandaFelix
32,OikhbergTimur,KedemRinat,TysonJeremyT
33,KutzarovaDenkaN,FordKevinB,SowersRichardB
34,AhlgrenScottD,IvanovSergeiVladimirovich,Berwick-EvansDaniel
35,YongAlexanderTF,HungPei-Ken,YoungAmanda
36,KirrEduard,TysonJeremyT,AlbinPierre
37,BocaFlorin-Petre,OikhbergTimur,IvanovSergeiVladimirovich
38,JandaFelix,LaNaveGabriele,FordKevinB
39,TzirakisNikolaos,TolmanSusan,LermanEugeneM
40,KirkpatrickKayLene,JandaFelix,HinkkanenAimo
41,StojanoskaVesna,YongAlexanderTF,LaNaveGabriele
42,DuttaSankarPrasad,AhlgrenScottD,JingXiaochen
43,BradlowStevenBenjamin,KutzarovaDenkaN,BaryshnikovYuliyM
44,LaugesenRichardSnyder,BocaFlorin-Petre,KermanEly
45,RaptiZoi,DuttaSankarPrasad,HellerJeremiahBen
46,SongRenming,TzirakisNikolaos,LiXiaochun
47,DeyParthaSarathi,LaugesenRichardSnyder,BradlowStevenBenjamin
48,ErdoğanMehmetBurak,MineyevIgor,ReznickBruce
49,MineyevIgor,KirrEduard,DoddChristopher
50,KostochkaAlexandrV,ErdoğanMehmetBurak,McCarthyRandy
51,HurVeraMikyoung,ThornerJesse,TumanovAlexander
52,BronskiJaredC,RaptiZoi,FernandesRuiLoja
53,ZharnitskyVadim,KostochkaAlexandrV,DunfieldNathanM
54,ZaharescuAlexandru,HurVeraMikyoung,NikolaevIgorG
55,BaloghJózsef,DeyParthaSarathi,RezkCharlesW
56,DeVilleRELee,LeditzkyFelix,LiuYuan
57,JungeMarius,KirkpatrickKayLene,RasmussenJacob
58,WuXuan,JungeMarius,KatzSheldonH
59,TolmanSusan,BronskiJaredC,WeiWei
60,FengRunhuan,SongRenming,FadinaTolulope
61,CooneyDanielB,ZharnitskyVadim,HiraniAnilN
62,WeiWei,BaloghJózsef,DuursmaIwanMaynard
63,QuanZhiyu,ZaharescuAlexandru,HaboushWilliamJ
64,KermanEly,DeVilleRELee,StojanoskaVesna
65,ThornerJesse,WuXuan,FengRunhuan
66,LeditzkyFelix,CooneyDanielB,PascaleffJamesThomas
67,HungPei-Ken,FengRunhuan,QuanZhiyu
68,JingXiaochen,WeiWei,RasmussenSarahDean
69,FadinaTolulope,QuanZhiyu,GuzmanRosemaryK
